cmcs2 cmcs14 cmcs7 cmcs6a cmcs3a
qhu001 1 0 139 197 163 164 205
qhu002 1 0 139 197 163 164 205
qhu003 1 0 139 197 173 164 205
qhu004 1 0 139 197 173 164 205
qhu005 1 0 139 197 173 164 205
qhu006 1 0 139 197 173 164 205
qhu007 1 0 139 197 173 164 205
qhu008 1 0 139 197 173 164 205
qhu009 1 0 139 197 173 164 205
qhu010 1 0 141 199 177 166 207
qhu011 2 0 139 197 173 164 205
qhu012 2 0 139 197 173 164 205
qhu013 2 0 139 197 173 164 205
qhu014 2 0 139 197 173 164 205
qhu015 2 0 139 197 173 164 205
qhu016 2 0 139 197 173 164 205
qhu017 2 0 139 197 173 164 205
qhu018 2 0 139 197 173 164 203
qhu019 2 0 139 197 173 164 205
qhu020 2 0 145 201 177 164 205
qhu021 2 0 141 199 177 166 207
qhu022 3 0 139 197 173 164 205
qhu023 3 0 139 197 173 164 205
qhu024 3 0 139 197 173 164 203
qhu025 3 0 139 197 173 164 203
qhu026 3 0 139 197 173 164 205
qhu027 3 0 139 197 173 164 205
qhu028 3 0 139 197 173 164 203
qhu029 3 0 139 197 173 164 203
qhu030 3 0 139 197 173 164 205
qhu031 3 0 139 197 173 164 205
qhu032 4 0 139 197 173 164 203
qhu033 4 0 139 197 173 164 205
qhu034 4 0 139 197 173 164 205
qhu035 4 0 139 197 173 164 205
qhu036 4 0 139 197 173 164 205
qhu037 4 0 139 197 173 164 205
qhu038 4 0 139 197 173 164 205
qhu039 4 0 139 197 173 164 205
qhu040 4 0 141 199 177 166 207
qhu041 4 0 141 199 177 166 207
qhu042 5 0 139 197 173 164 205
qhu043 5 0 139 197 173 164 205
qhu044 5 0 139 197 173 164 205
qhu045 5 0 139 189 173 164 205
qhu046 5 0 139 197 173 164 205
qhu047 5 0 141 197 173 164 205
qhu048 5 0 139 197 173 164 205
qhu049 5 0 139 197 173 164 205
qhu050 5 0 141 199 177 166 207
qhu051 5 0 141 199 181 166 207
qhu052 6 0 139 197 173 164 205
qhu053 6 0 139 197 173 164 205
qhu054 6 0 139 197 173 164 205
qhu055 6 0 139 197 173 164 203
qhu056 6 0 139 197 173 164 205
qhu057 6 0 139 197 173 164 205
qhu058 6 0 139 197 173 164 205
